Descripcion;Precio;Precio KG;URL del producto;Url de la imagen
EL LOBO turrón de alicante estuche 250 gr;3.49 €;17,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/168090;https://s3.dia.es/medias/productimages/hbc/hcf/10838893002782.jpg
LACASA turrón guirlache de aragón estuche 240 gr;5.49 €;22,88 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/114019;https://s1.dia.es/medias/h52/h85/10661240143902.jpg
EL LOBO turrón de Jijona estuche 250 gr;3.49 €;17,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/168089;https://s2.dia.es/medias/productimages/hd6/he2/10838894313502.jpg
EL LOBO torta turrón de alicante estuche 200 gr;3.19 €;21,27 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/168092;https://s3.dia.es/medias/productimages/h77/h9e/10860042387486.jpg
EL LOBO turrón de yema tostada estuche 200 gr;3.49 €;17,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/168373;https://s3.dia.es/medias/productimages/h27/h80/10838893330462.jpg
SUCHARD turrón de chocolate estuche 260 gr;3.49 €;13,42 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/184614;https://s1.dia.es/medias/productimages/hb7/h6e/10872659509278.jpg
SUCHARD turrón de chocolate oreo blanco estuche 260 gr;3.49 €;13,42 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/184618;https://s0.dia.es/medias/hd6/h49/10729696034846.jpg
SUCHARD turrón de chocolate con oreo estuche 260 gr;3.49 €;13,42 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/184619;https://s3.dia.es/medias/hac/h3c/10770334842910.jpg
SUCHARD turrón clásico de chocolate lata 2 uds 520 gr;7.49 €;14,40 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/260098;https://s1.dia.es/medias/productimages/hb0/h3f/10747419656222.jpg
DIA DULCE NOEL turrón suprema Alicante estuche 150gr;1.89 €;12,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265840;https://s2.dia.es/medias/productimages/h7c/h99/10837585887262.jpg
DIA DULCE NOEL turrón suprema Jijona estuche 150 gr;1.89 €;12,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265841;https://s3.dia.es/medias/productimages/h9e/h54/10837597356062.jpg
DIA DULCE NOEL turrón de yema tostada suprema estuche 150 gr;1.49 €;9,93 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/264740;https://s0.dia.es/medias/productimages/h56/h98/10837624946718.jpg
DIA DULCE NOEL turrón imperial de cacahuete estuche 150 gr;0.99 €;6,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/264741;https://s0.dia.es/medias/productimages/h2d/hc6/10837627568158.jpg
DIA DULCE NOEL turrón de crema de cacahuete estuche 150 gr;0.99 €;6,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/264742;https://s3.dia.es/medias/productimages/h96/h78/10837610528798.jpg
DIA DULCE NOEL turrón de tres chocolates estuche 150 gr;1.49 €;9,93 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265831;https://s0.dia.es/medias/productimages/h71/h5d/10837591785502.jpg
DIA DULCE NOEL turrón de chocolate blanco crujiente estuche 200 gr;1.49 €;7,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265837;https://s0.dia.es/medias/productimages/h29/hf2/10837586542622.jpg
DIA DULCE NOEL turrón chocolate con leche crujiente clásico estuche 200 gr;0.99 €;4,95 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265838;https://s2.dia.es/medias/productimages/hee/hf3/10885606244382.jpg
DIA DULCE NOEL turrón de praliné de trufa suprema estuche 150 gr;1.59 €;10,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265842;https://s1.dia.es/medias/productimages/h33/hf8/10837592768542.jpg
DIA DULCE NOEL turrón de coco extra estuche 150 gr;0.99 €;6,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265844;https://s3.dia.es/medias/productimages/h0e/hdf/10837626257438.jpg
DIA DULCE NOEL turrón de chocolate con cacahuetes con miel estuche 150 gr;0.99 €;6,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/264743;https://s1.dia.es/medias/productimages/h18/h3d/10829210058782.jpg
DIA DULCE NOEL turrón crujiente con galletas estuche 200 gr;1.49 €;7,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/264745;https://s1.dia.es/medias/productimages/hd8/h7b/10884810768414.jpg
DIA DULCE NOEL turrón praliné de ron con pasas estuche 150 gr;1.69 €;11,27 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265846;https://s0.dia.es/medias/productimages/h1f/haf/10837593423902.jpg
DIA DULCE NOEL turrón cacao almendra/crujiente surtido 20 gr;0.26 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265621;https://s1.dia.es/medias/productimages/h41/ha6/10837595062302.jpg
DIA DULCE NOEL turrón de chocolate con leche con almendras estuche 200 gr;1.79 €;8,95 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265839;https://s1.dia.es/medias/productimages/hbf/h11/10837592113182.jpg
DIA DULCE NOEL turrón de chocolate negro crujiente estuche 200 gr;1.49 €;7,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265836;https://s1.dia.es/medias/productimages/h93/ha2/10837586214942.jpg
DIA DULCE NOEL turrón praliné de crema catalana estuche 150 gr;1.59 €;10,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265843;https://s0.dia.es/medias/productimages/h83/h5b/10837590147102.jpg
DIA DULCE NOEL turrón con grajeas de chocolate estuche 100 gr;0.99 €;9,90 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/273479;https://s0.dia.es/medias/productimages/hdb/h17/10834857787422.jpg
NESTLE turrón jungly de chocolate estuche 232 gr;2.99 €;12,89 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/277572;https://s1.dia.es/medias/productimages/h4f/he3/10874379010078.jpg
DIA DULCE NOEL turrón con dulce de leche estuche 150 gr;1.59 €;10,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/273480;https://s2.dia.es/medias/productimages/h0d/hc1/10845821894686.jpg
LACASA turrón crujiente de chocolate estuche 150 gr;1.00 €;6,67 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/275796;https://s3.dia.es/medias/productimages/hcb/h78/10825691791390.jpg
LACASA turrón crujiente chocolate negro estuche 150 gr;1.00 €;6,67 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/275797;https://s2.dia.es/medias/productimages/h78/h39/10825692446750.jpg
DIA DULCE NOEL turrón imperial de almendras sin azúcar estuche 150 gr;2.19 €;14,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/273482;https://s0.dia.es/medias/productimages/h55/heb/10829223493662.jpg
DIA DULCE NOEL turrón de crema de almendras sin azúcar estuche 150 gr;2.19 €;14,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/273481;https://s2.dia.es/medias/productimages/h73/h5f/10829239549982.jpg
DIA DULCE NOEL turrón crujiente blanco con galletas estuche 200 gr;1.49 €;7,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/273478;https://s1.dia.es/medias/productimages/h39/h20/10834847891486.jpg
MATA hojaldrinas bolsa 400 gr;3.15 €;7,88 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/125266;https://s0.dia.es/medias/hab/h8e/10852615782430.jpg
EL LOBO turrón de alicante estuche 250 gr;3.49 €;17,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/168090;https://s3.dia.es/medias/productimages/hbc/hcf/10838893002782.jpg
LACASA turrón guirlache de aragón estuche 240 gr;5.49 €;22,88 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/114019;https://s1.dia.es/medias/h52/h85/10661240143902.jpg
DIA DULCE NOEL panettone de chocolate caja 500 gr;2.99 €;5,98 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/124134;https://s2.dia.es/medias/h11/hb3/10312494219294.jpg
LA ESTEPEÑA surtido navidad caja 850 gr;7.30 €;8,59 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/136798;https://s3.dia.es/medias/ha8/he8/8834891382814.png
DIA DULCE NOEL figuritas de mazapán caja 200 gr;1.85 €;9,25 €/Kg.;/compra-online/dulces-de-navidad/mazapanes/p/3264;https://s2.dia.es/medias/h0e/had/10318940700702.jpg
DIA DULCE NOEL surtido de mazapán caja 300 gr;|2.79 €
2.09 €|;|9,30 €/Kg.
6,97 €/Kg.|;/compra-online/dulces-de-navidad/mazapanes/p/25251;https://s0.dia.es/medias/productimages/h2b/h28/10837578285086.jpg
DIA DULCE NOEL panettone clásico con frutas caja 500 gr;2.99 €;5,98 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/62153;https://s0.dia.es/medias/h52/h91/10312503197726.jpg
EL LOBO turrón de Jijona estuche 250 gr;3.49 €;17,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/168089;https://s2.dia.es/medias/productimages/hd6/he2/10838894313502.jpg
EL LOBO torta turrón de alicante estuche 200 gr;3.19 €;21,27 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/168092;https://s3.dia.es/medias/productimages/h77/h9e/10860042387486.jpg
EL LOBO turrón de yema tostada estuche 200 gr;3.49 €;17,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/168373;https://s3.dia.es/medias/productimages/h27/h80/10838893330462.jpg
SUCHARD turrón de chocolate estuche 260 gr;3.49 €;13,42 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/184614;https://s1.dia.es/medias/productimages/hb7/h6e/10872659509278.jpg
SUCHARD turrón de chocolate oreo blanco estuche 260 gr;3.49 €;13,42 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/184618;https://s0.dia.es/medias/hd6/h49/10729696034846.jpg
SUCHARD turrón de chocolate con oreo estuche 260 gr;3.49 €;13,42 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/184619;https://s3.dia.es/medias/hac/h3c/10770334842910.jpg
RIEGELEIN figura de chocolate con leche Reyes Magos 1 ud 60 gr  (modelo aleatorio);1.00 €;16,67 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/211192;https://s1.dia.es/medias/productimages/hf7/h9d/10838882844702.jpg
DIA DULCE NOEL pastas surtidas lata 400 gr (modelo aleatorio);4.49 €;11,23 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/222602;https://s0.dia.es/medias/productimages/hf0/ha7/10860003983390.jpg
LA HORNADA DIA pandoro con chocolate bolsa 750 gr;3.99 €;5,32 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/224028;https://s2.dia.es/medias/productimages/hd6/hd0/10871302291486.jpg
DIA DULCE NOEL selección de especialidades bandeja 700 gr;|4.79 €
3.59 €|;|6,84 €/Kg.
5,13 €/Kg.|;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/236265;https://s1.dia.es/medias/productimages/ha8/h5c/10862762557470.jpg
MIDEL bastón navidad de caramelo 40 gr;1.00 €;25,00 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/251795;https://s2.dia.es/medias/h14/h3a/10832066150430.jpg
LA HORNADA DIA panettone clásico bolsa 900 gr;3.99 €;4,43 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/260753;https://s3.dia.es/medias/h1b/h86/10345850634270.jpg
LA HORNADA DIA pandoro clásico bolsa 750 gr;3.99 €;5,32 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/260756;https://s0.dia.es/medias/h9c/h3e/10351178383390.jpg
LA HORNADA DIA mini panettone de chocolate bolsa 100 gr;0.99 €;9,90 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/260757;https://s0.dia.es/medias/productimages/h35/h7a/10871280009246.jpg
SUCHARD turrón clásico de chocolate lata 2 uds 520 gr;7.49 €;14,40 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/260098;https://s1.dia.es/medias/productimages/hb0/h3f/10747419656222.jpg
DIA DULCE NOEL turrón suprema Alicante estuche 150gr;1.89 €;12,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265840;https://s2.dia.es/medias/productimages/h7c/h99/10837585887262.jpg
DIA DULCE NOEL turrón suprema Jijona estuche 150 gr;1.89 €;12,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265841;https://s3.dia.es/medias/productimages/h9e/h54/10837597356062.jpg
DIA DULCE NOEL turrón de yema tostada suprema estuche 150 gr;1.49 €;9,93 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/264740;https://s0.dia.es/medias/productimages/h56/h98/10837624946718.jpg
DIA DULCE NOEL turrón imperial de cacahuete estuche 150 gr;0.99 €;6,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/264741;https://s0.dia.es/medias/productimages/h2d/hc6/10837627568158.jpg
DIA DULCE NOEL turrón de crema de cacahuete estuche 150 gr;0.99 €;6,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/264742;https://s3.dia.es/medias/productimages/h96/h78/10837610528798.jpg
DIA DULCE NOEL almendra rellena surtido 10 gr;0.13 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/265616;https://s1.dia.es/medias/h78/h1f/10327365550110.jpg
DIA DULCE NOEL turrón de tres chocolates estuche 150 gr;1.49 €;9,93 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265831;https://s0.dia.es/medias/productimages/h71/h5d/10837591785502.jpg
DIA DULCE NOEL turrón de chocolate blanco crujiente estuche 200 gr;1.49 €;7,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265837;https://s0.dia.es/medias/productimages/h29/hf2/10837586542622.jpg
DIA DULCE NOEL turrón chocolate con leche crujiente clásico estuche 200 gr;0.99 €;4,95 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265838;https://s2.dia.es/medias/productimages/hee/hf3/10885606244382.jpg
DIA DULCE NOEL turrón de praliné de trufa suprema estuche 150 gr;1.59 €;10,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265842;https://s1.dia.es/medias/productimages/h33/hf8/10837592768542.jpg
DIA DULCE NOEL turrón de coco extra estuche 150 gr;0.99 €;6,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265844;https://s3.dia.es/medias/productimages/h0e/hdf/10837626257438.jpg
DIA DULCE NOEL turrón de chocolate con cacahuetes con miel estuche 150 gr;0.99 €;6,60 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/264743;https://s1.dia.es/medias/productimages/h18/h3d/10829210058782.jpg
DIA DULCE NOEL turrón crujiente con galletas estuche 200 gr;1.49 €;7,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/264745;https://s1.dia.es/medias/productimages/hd8/h7b/10884810768414.jpg
DIA DULCE NOEL mazapán de soto/ empanada de yema surtido 26 gr;0.34 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/mazapanes/p/265619;https://s0.dia.es/medias/productimages/h00/h5b/10837587197982.jpg
DIA DULCE NOEL turrón praliné de ron con pasas estuche 150 gr;1.69 €;11,27 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265846;https://s0.dia.es/medias/productimages/h1f/haf/10837593423902.jpg
DIA DULCE NOEL rosco de vino surtido 32 gr;0.13 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/265615;https://s2.dia.es/medias/h56/h41/10327370465310.jpg
DIA DULCE NOEL turrón cacao almendra/crujiente surtido 20 gr;0.26 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265621;https://s1.dia.es/medias/productimages/h41/ha6/10837595062302.jpg
DIA DULCE NOEL polvorón almendra surtido 45 gr;0.18 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/265614;https://s2.dia.es/medias/h1e/h1d/10371674734622.jpg
DIA DULCE NOEL turrón de chocolate con leche con almendras estuche 200 gr;1.79 €;8,95 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265839;https://s1.dia.es/medias/productimages/hbf/h11/10837592113182.jpg
DIA DULCE NOEL turrón de chocolate negro crujiente estuche 200 gr;1.49 €;7,45 €/Kg.;/compra-online/dulces-de-navidad/turrones/p/265836;https://s1.dia.es/medias/productimages/h93/ha2/10837586214942.jpg
DIA DULCE NOEL mantecado de limón/cacao/canela surtido 48 gr;0.19 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/265613;https://s2.dia.es/medias/hba/h2f/10327365877790.jpg
DIA DULCE NOEL cortadillo cabello surtido 43 gr;0.17 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/265606;https://s2.dia.es/medias/hcd/h7f/10371673751582.jpg
DIA DULCE NOEL hojaldrada clásica surtido 25 gr;0.10 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/265611;https://s1.dia.es/medias/h81/h27/10371674079262.jpg
DIA DULCE NOEL mantecado aceite de oliva/sésamo surtido 42 gr;0.17 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/265612;https://s2.dia.es/medias/hfd/hd7/10327366860830.jpg
DIA DULCE NOEL figurita de mazapán surtido 15 gr;0.19 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/mazapanes/p/265618;https://s2.dia.es/medias/productimages/h0e/h57/10837595389982.jpg
LA ESTEPEÑA surtido navidad caja 850 gr;7.30 €;8,59 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/136798;https://s3.dia.es/medias/ha8/he8/8834891382814.png
DIA DULCE NOEL selección de especialidades bandeja 700 gr;|4.79 €
3.59 €|;|6,84 €/Kg.
5,13 €/Kg.|;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/236265;https://s1.dia.es/medias/productimages/ha8/h5c/10862762557470.jpg
DIA DULCE NOEL rosco de vino surtido 32 gr;0.13 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/265615;https://s2.dia.es/medias/h56/h41/10327370465310.jpg
DIA DULCE NOEL polvorón almendra surtido 45 gr;0.18 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/265614;https://s2.dia.es/medias/h1e/h1d/10371674734622.jpg
DIA DULCE NOEL mantecado de limón/cacao/canela surtido 48 gr;0.19 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/265613;https://s2.dia.es/medias/hba/h2f/10327365877790.jpg
DIA DULCE NOEL mantecado aceite de oliva/sésamo surtido 42 gr;0.17 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/265612;https://s2.dia.es/medias/hfd/hd7/10327366860830.jpg
DIA DULCE NOEL polvorones sin azúcar a granel unidad (35 gr peso aprox.);0.14 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/mantecados-y-polvorones/p/273496;https://s0.dia.es/medias/productimages/h92/ha5/10836182073374.jpg
DIA DULCE NOEL figuritas de mazapán caja 200 gr;1.85 €;9,25 €/Kg.;/compra-online/dulces-de-navidad/mazapanes/p/3264;https://s2.dia.es/medias/h0e/had/10318940700702.jpg
DIA DULCE NOEL surtido de mazapán caja 300 gr;|2.79 €
2.09 €|;|9,30 €/Kg.
6,97 €/Kg.|;/compra-online/dulces-de-navidad/mazapanes/p/25251;https://s0.dia.es/medias/productimages/h2b/h28/10837578285086.jpg
DIA DULCE NOEL mazapán de soto/ empanada de yema surtido 26 gr;0.34 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/mazapanes/p/265619;https://s0.dia.es/medias/productimages/h00/h5b/10837587197982.jpg
DIA DULCE NOEL figurita de mazapán surtido 15 gr;0.19 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/mazapanes/p/265618;https://s2.dia.es/medias/productimages/h0e/h57/10837595389982.jpg
DIA DULCE NOEL alfajor de almendra y avellana a granel unidad (24 gr peso aprox.);0.31 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/mazapanes/p/273500;https://s3.dia.es/medias/productimages/h60/he5/10842839351326.jpg
MATA hojaldrinas bolsa 400 gr;3.15 €;7,88 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/125266;https://s0.dia.es/medias/hab/h8e/10852615782430.jpg
RIEGELEIN figura de chocolate con leche Reyes Magos 1 ud 60 gr  (modelo aleatorio);1.00 €;16,67 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/211192;https://s1.dia.es/medias/productimages/hf7/h9d/10838882844702.jpg
DIA DULCE NOEL pastas surtidas lata 400 gr (modelo aleatorio);4.49 €;11,23 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/222602;https://s0.dia.es/medias/productimages/hf0/ha7/10860003983390.jpg
MIDEL bastón navidad de caramelo 40 gr;1.00 €;25,00 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/251795;https://s2.dia.es/medias/h14/h3a/10832066150430.jpg
DIA DULCE NOEL almendra rellena surtido 10 gr;0.13 €;12,90 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/265616;https://s1.dia.es/medias/h78/h1f/10327365550110.jpg
DIA DULCE NOEL cortadillo cabello surtido 43 gr;0.17 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/265606;https://s2.dia.es/medias/hcd/h7f/10371673751582.jpg
DIA DULCE NOEL hojaldrada clásica surtido 25 gr;0.10 €;3,95 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/265611;https://s1.dia.es/medias/h81/h27/10371674079262.jpg
NESTLE chocolate extrafino Reyes Mayos lata 60 gr (modelo aleatorio);2.69 €;44,83 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277634;https://s2.dia.es/medias/productimages/hda/h0f/10874374750238.jpg
NESTLE lote chocolate extrafino y peluche caja 260 gr (modelo aleatorio);7.49 €;28,81 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277633;https://s0.dia.es/medias/productimages/h15/hea/10874375405598.jpg
KINDER casita mini mix navidad caja 76 gr (modelo aleatorio);2.75 €;36,18 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277298;https://s1.dia.es/medias/productimages/h03/h5b/10837613412382.jpg
NICKELODEON mix de chocolate adorno de Navidad 20 gr (modelo aleatorio);1.99 €;99,50 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277523;https://s3.dia.es/medias/productimages/h51/ha0/10864090644510.jpg
NICKELODEON mix de caramelos árbol de Navidad lata 80 gr (modelo aleatorio);3.99 €;49,88 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277524;https://s3.dia.es/medias/productimages/ha8/h8f/10864087367710.jpg
NICKELODEON mix de caramelos lata redonda 90 gr (modelo aleatorio);4.99 €;62,38 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277526;https://s2.dia.es/medias/productimages/hc0/h68/10864084746270.jpg
NICKELODEON mix de caramelos calcetín de Navidad lata 80 gr (modelo aleatorio);3.99 €;49,88 €/Kg.;/compra-online/dulces-de-navidad/surtidos-navidenos/p/277525;https://s2.dia.es/medias/productimages/hb3/ha6/10864094248990.jpg
DIA DULCE NOEL panettone de chocolate caja 500 gr;2.99 €;5,98 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/124134;https://s2.dia.es/medias/h11/hb3/10312494219294.jpg
DIA DULCE NOEL panettone clásico con frutas caja 500 gr;2.99 €;5,98 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/62153;https://s0.dia.es/medias/h52/h91/10312503197726.jpg
LA HORNADA DIA pandoro con chocolate bolsa 750 gr;3.99 €;5,32 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/224028;https://s2.dia.es/medias/productimages/hd6/hd0/10871302291486.jpg
LA HORNADA DIA panettone clásico bolsa 900 gr;3.99 €;4,43 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/260753;https://s3.dia.es/medias/h1b/h86/10345850634270.jpg
LA HORNADA DIA pandoro clásico bolsa 750 gr;3.99 €;5,32 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/260756;https://s0.dia.es/medias/h9c/h3e/10351178383390.jpg
LA HORNADA DIA mini panettone de chocolate bolsa 100 gr;0.99 €;9,90 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/260757;https://s0.dia.es/medias/productimages/h35/h7a/10871280009246.jpg
IL VECCHIO panettone lata 750 gr;6.99 €;9,32 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/275863;https://s0.dia.es/medias/productimages/h3d/he1/10860032884766.jpg
EL MOLINO DE DIA mini panettone clásico bolsa 100 gr;0.99 €;9,90 €/Kg.;/compra-online/dulces-de-navidad/panettones/p/278086;https://s1.dia.es/medias/productimages/h6e/h6f/10871299670046.jpg
DIA DULCE NOEL roscón de nata caja 550 gr;6.99 €;12,71 €/Kg.;/compra-online/dulces-de-navidad/roscones-de-reyes/p/278105;https://s0.dia.es/medias/productimages/h92/h0f/10885608865822.jpg
